ticker,name,failed_gates,values,missing_fields,source,retrieved_at
LEGN,Legend Biotech Corp ADR,adr,"{'industry': 'Biotechnology', 'price': 19.28}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
MBX,MBX Biosciences Inc,biotech_pre_revenue,"{'industry': 'Biotechnology', 'price': 67.11}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
MLYS,Mineralys Therapeutics Inc,biotech_pre_revenue,"{'industry': 'Biotechnology', 'price': 26.99}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
NTES,NetEase Inc ADR,adr,"{'industry': 'Electronic Gaming & Multimedia', 'price': 130.36}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
ORKA,Oruka Therapeutics Inc,biotech_pre_revenue,"{'industry': 'Biotechnology', 'price': 98.42}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
PAYP,PayPay Corp ADR,adr,"{'industry': 'Software - Infrastructure', 'price': 15.4}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
PBLS,Parabilis Medicines Inc,biotech_pre_revenue,"{'industry': 'Biotechnology', 'price': 35.58}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
PCVX,Vaxcyte Inc,biotech_pre_revenue,"{'industry': 'Biotechnology', 'price': 58.89}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
PDD,PDD Holdings Inc ADR,adr,"{'industry': 'Internet Retail', 'price': 90.85}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
RVMD,Revolution Medicines Inc,biotech_pre_revenue,"{'industry': 'Biotechnology', 'price': 197.81}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
RYAAY,Ryanair Holdings Plc ADR,adr,"{'industry': 'Airlines', 'price': 60.55}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
SIMO,Silicon Motion Technology Corp ADR,adr,"{'industry': 'Semiconductors', 'price': 267.43}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
SKHY,SK Hynix Inc ADR,adr,"{'industry': 'Semiconductors', 'price': 143.53}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
SNY,Sanofi ADR,adr,"{'industry': 'Drug Manufacturers - General', 'price': 42.89}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
SRRK,Scholar Rock Holding Corp,biotech_pre_revenue,"{'industry': 'Biotechnology', 'price': 52.64}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
SYRE,Spyre Therapeutics Inc,biotech_pre_revenue,"{'industry': 'Biotechnology', 'price': 103.42}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
TCOM,Trip.com Group Ltd ADR,adr,"{'industry': 'Travel Services', 'price': 46.24}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
TRVI,Trevi Therapeutics Inc,biotech_pre_revenue,"{'industry': 'Biotechnology', 'price': 18.5}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
VERA,Vera Therapeutics Inc,biotech_pre_revenue,"{'industry': 'Biotechnology', 'price': 32.02}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
VKTX,Viking Therapeutics Inc,biotech_pre_revenue,"{'industry': 'Biotechnology', 'price': 33.3}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
VOD,Vodafone Group plc ADR,adr,"{'industry': 'Telecom Services', 'price': 16.0}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
ZLAB,Zai Lab Limited ADR,adr,"{'industry': 'Biotechnology', 'price': 20.88}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
AAL,American Airlines Group Inc,revenue_growth;eps_growth;operating_margin,"{'revenue_growth_yoy': 16.28, 'eps_growth_yoy': -88.18, 'eps_next_year': 1463.16, 'operating_margin': 1.83}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
AAOI,Applied Optoelectronics Inc,eps_growth;operating_margin;earnings_window,"{'revenue_growth_yoy': 51.35999999999999, 'eps_growth_yoy': -2.56, 'eps_next_year': 454.25, 'operating_margin': -11.57}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
AAON,AAON Inc,earnings_window,"{'revenue_growth_yoy': 54.300000000000004, 'eps_growth_yoy': 36.230000000000004, 'eps_next_year': 52.91, 'operating_margin': 10.4}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
AAPL,Apple Inc,revenue_growth;eps_growth;eps_next_year,"{'revenue_growth_yoy': 16.36, 'eps_growth_yoy': 29.13, 'eps_next_year': 8.32, 'operating_margin': 33.17}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
ABNB,Airbnb Inc,revenue_growth;eps_growth;earnings_window,"{'revenue_growth_yoy': 17.87, 'eps_growth_yoy': 7.340000000000001, 'eps_next_year': 18.16, 'operating_margin': 20.89}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
ACAD,Acadia Pharmaceuticals Inc,revenue_growth;eps_growth;operating_margin,"{'revenue_growth_yoy': 16.400000000000002, 'eps_growth_yoy': 15.24, 'eps_next_year': 61.61, 'operating_margin': 7.59}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
ACGL,Arch Capital Group Ltd,revenue_growth;eps_growth;eps_next_year,"{'revenue_growth_yoy': -11.459999999999999, 'eps_growth_yoy': -7.06, 'eps_next_year': 4.45, 'operating_margin': 25.11}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
ACHC,Acadia Healthcare Company Inc,revenue_growth;eps_growth,"{'revenue_growth_yoy': -0.38999999999999996, 'eps_growth_yoy': -64.09, 'eps_next_year': 19.31, 'operating_margin': 10.059999999999999}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
ACIW,ACI Worldwide Inc,revenue_growth;eps_growth;earnings_window,"{'revenue_growth_yoy': 7.9, 'eps_growth_yoy': -32.41, 'eps_next_year': 15.03, 'operating_margin': 18.78}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
ACMR,ACM Research Inc,eps_growth;earnings_window,"{'revenue_growth_yoy': 34.18, 'eps_growth_yoy': -18.69, 'eps_next_year': 43.2, 'operating_margin': 12.479999999999999}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
ADBE,Adobe Inc,revenue_growth;eps_growth;eps_next_year,"{'revenue_growth_yoy': 12.690000000000001, 'eps_growth_yoy': 8.04, 'eps_next_year': 12.73, 'operating_margin': 36.74}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
ADEA,Adeia Inc,revenue_growth;eps_growth;eps_next_year,"{'revenue_growth_yoy': 12.11, 'eps_growth_yoy': 1.81, 'eps_next_year': 13.13, 'operating_margin': 46.81}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
ADP,Automatic Data Processing Inc,revenue_growth;eps_growth;eps_next_year,"{'revenue_growth_yoy': 6.77, 'eps_growth_yoy': 9.62, 'eps_next_year': 9.3, 'operating_margin': 26.41}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
ADPT,Adaptive Biotechnologies Corp,eps_growth;operating_margin,"{'revenue_growth_yoy': 21.529999999999998, 'eps_growth_yoy': -47.8, 'eps_next_year': 67.66, 'operating_margin': -11.81}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
ADSK,Autodesk Inc,revenue_growth;eps_growth;eps_next_year,"{'revenue_growth_yoy': 19.63, 'eps_growth_yoy': 2.2912, 'eps_next_year': 12.66, 'operating_margin': 22.48}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
AEHR,Aehr Test Systems,operating_margin,"{'revenue_growth_yoy': 33.69, 'eps_growth_yoy': 143.11, 'eps_next_year': 119.58, 'operating_margin': -28.29}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
AEP,American Electric Power Company Inc,revenue_growth;eps_next_year,"{'revenue_growth_yoy': 7.02, 'eps_growth_yoy': None, 'eps_next_year': 7.74, 'operating_margin': 24.0}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
AKAM,Akamai Technologies Inc,revenue_growth;eps_growth;eps_next_year;earnings_window,"{'revenue_growth_yoy': 5.76, 'eps_growth_yoy': -13.089999999999998, 'eps_next_year': 6.5, 'operating_margin': 13.76}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
ALAB,Astera Labs Inc,eps_growth,"{'revenue_growth_yoy': 104.45, 'eps_growth_yoy': 1.9033, 'eps_next_year': 61.36, 'operating_margin': 22.75}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
ALGM,Allegro Microsystems Inc,eps_growth;operating_margin,"{'revenue_growth_yoy': 27.450000000000003, 'eps_growth_yoy': 2.1785, 'eps_next_year': 45.53, 'operating_margin': 6.22}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
ALGN,Align Technology Inc,revenue_growth;eps_growth;eps_next_year,"{'revenue_growth_yoy': 4.32, 'eps_growth_yoy': -11.790000000000001, 'eps_next_year': 11.05, 'operating_margin': 18.38}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
ALKS,Alkermes plc,eps_growth,"{'revenue_growth_yoy': 26.97, 'eps_growth_yoy': -99.44, 'eps_next_year': 242.28, 'operating_margin': 8.62}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
ALKT,Alkami Technology Inc,revenue_growth;operating_margin,"{'revenue_growth_yoy': 15.870000000000001, 'eps_growth_yoy': 36.61, 'eps_next_year': 38.17, 'operating_margin': -7.08}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
ALMS,Alumis Inc,revenue_growth;eps_next_year;operating_margin,"{'revenue_growth_yoy': -89.99000000000001, 'eps_growth_yoy': 59.19, 'eps_next_year': 4.44, 'operating_margin': -51.3907}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
ALNY,Alnylam Pharmaceuticals Inc,eps_growth,"{'revenue_growth_yoy': 66.86, 'eps_growth_yoy': 3.3786, 'eps_next_year': 48.82, 'operating_margin': 20.810000000000002}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
AMAT,Applied Materials Inc,revenue_growth;earnings_window,"{'revenue_growth_yoy': 11.41, 'eps_growth_yoy': 33.44, 'eps_next_year': 39.2, 'operating_margin': 30.130000000000003}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
AMBA,Ambarella Inc,revenue_growth;eps_growth;operating_margin,"{'revenue_growth_yoy': 16.869999999999997, 'eps_growth_yoy': 27.99, 'eps_next_year': 36.48, 'operating_margin': -18.48}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
AMD,Advanced Micro Devices Inc,eps_growth,"{'revenue_growth_yoy': 50.11, 'eps_growth_yoy': 1.588, 'eps_next_year': 98.66, 'operating_margin': 15.709999999999999}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
AMGN,AMGEN Inc,revenue_growth;eps_next_year,"{'revenue_growth_yoy': 9.82, 'eps_growth_yoy': 64.92999999999999, 'eps_next_year': 5.04, 'operating_margin': 33.31}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
AMKR,AMKOR Technology Inc,eps_growth;eps_next_year,"{'revenue_growth_yoy': 25.580000000000002, 'eps_growth_yoy': 2.1653, 'eps_next_year': 7.9, 'operating_margin': 8.92}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
AMLX,Amylyx Pharmaceuticals Inc,eps_next_year;earnings_window,"{'revenue_growth_yoy': None, 'eps_growth_yoy': 10.879999999999999, 'eps_next_year': 6.83, 'operating_margin': None}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
AMRX,Amneal Pharmaceuticals Inc,revenue_growth;eps_growth,"{'revenue_growth_yoy': 9.89, 'eps_growth_yoy': 1.5899, 'eps_next_year': 19.51, 'operating_margin': 15.27}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
AMZN,Amazon.com Inc,revenue_growth;eps_growth;eps_next_year,"{'revenue_growth_yoy': 19.62, 'eps_growth_yoy': 2.4183, 'eps_next_year': -13.58, 'operating_margin': 12.68}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
APA,APA Corp,revenue_growth;eps_growth;eps_next_year,"{'revenue_growth_yoy': 8.95, 'eps_growth_yoy': 26.33, 'eps_next_year': -31.11, 'operating_margin': 41.32}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
APLD,Applied Digital Corp,revenue_growth;eps_growth;operating_margin,"{'revenue_growth_yoy': 5.8068, 'eps_growth_yoy': -62.41, 'eps_next_year': 74.77, 'operating_margin': -29.73}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
APPN,Appian Corp,eps_growth;operating_margin;earnings_window,"{'revenue_growth_yoy': 21.48, 'eps_growth_yoy': -30.19, 'eps_next_year': 27.2, 'operating_margin': 3.3300000000000005}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
ARCC,Ares Capital Corp,revenue_growth;eps_growth,"{'revenue_growth_yoy': -7.3, 'eps_growth_yoy': -54.14, 'eps_next_year': 141.0, 'operating_margin': 58.03}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
ARQT,Arcutis Biotherapeutics Inc,operating_margin,"{'revenue_growth_yoy': 60.07, 'eps_growth_yoy': 56.089999999999996, 'eps_next_year': 183.61, 'operating_margin': 0.77}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
ARWR,Arrowhead Pharmaceuticals Inc,revenue_growth;eps_growth;eps_next_year;operating_margin,"{'revenue_growth_yoy': 1.7102, 'eps_growth_yoy': -7.51, 'eps_next_year': -34.23, 'operating_margin': -33.82}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
ASO,Academy Sports and Outdoors Inc,revenue_growth;eps_growth;eps_next_year,"{'revenue_growth_yoy': 6.7, 'eps_growth_yoy': 18.22, 'eps_next_year': 7.81, 'operating_margin': 8.42}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
ASTS,AST SpaceMobile Inc,revenue_growth;eps_growth;operating_margin;earnings_window,"{'revenue_growth_yoy': 19.5223, 'eps_growth_yoy': -2.2195, 'eps_next_year': 48.41, 'operating_margin': -4.4053}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
ATRC,Atricure Inc,revenue_growth;eps_growth;operating_margin,"{'revenue_growth_yoy': 12.83, 'eps_growth_yoy': 2.4125, 'eps_next_year': 290.64, 'operating_margin': 2.44}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
AUGO,Aura Minerals Inc,eps_next_year,"{'revenue_growth_yoy': 76.42, 'eps_growth_yoy': 22.7156, 'eps_next_year': -33.0, 'operating_margin': 53.42}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
AVAV,AeroVironment Inc,operating_margin,"{'revenue_growth_yoy': 133.27, 'eps_growth_yoy': 112.23, 'eps_next_year': 37.62, 'operating_margin': -1.1199999999999999}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
AVT,Avnet Inc,eps_growth;operating_margin,"{'revenue_growth_yoy': 33.95, 'eps_growth_yoy': 12.4, 'eps_next_year': 22.89, 'operating_margin': 2.74}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
AXGN,Axogen Inc,eps_growth;operating_margin,"{'revenue_growth_yoy': 23.06, 'eps_growth_yoy': -3.3471, 'eps_next_year': 54.87, 'operating_margin': -5.12}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
AXON,Axon Enterprise Inc,eps_growth;operating_margin,"{'revenue_growth_yoy': 35.28, 'eps_growth_yoy': -18.2, 'eps_next_year': 37.93, 'operating_margin': 0.9199999999999999}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
AXSM,Axsome Therapeutics Inc,eps_growth;operating_margin;earnings_window,"{'revenue_growth_yoy': 57.42, 'eps_growth_yoy': -3.6900000000000004, 'eps_next_year': 336.82, 'operating_margin': -24.93}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
AXTI,AXT Inc,revenue_growth;eps_growth;operating_margin,"{'revenue_growth_yoy': 1.6477, 'eps_growth_yoy': 2.0868, 'eps_next_year': 158.88, 'operating_margin': 3.09}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
BBIO,BridgeBio Pharma Inc,eps_growth;operating_margin;earnings_window,"{'revenue_growth_yoy': 66.78, 'eps_growth_yoy': 4.35, 'eps_next_year': 125.98, 'operating_margin': -86.94}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
BEAM,Beam Therapeutics Inc,revenue_growth;eps_growth;eps_next_year;operating_margin,"{'revenue_growth_yoy': 3.2487, 'eps_growth_yoy': 26.46, 'eps_next_year': -6.19, 'operating_margin': -2.2658}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
BIIB,Biogen Inc,revenue_growth;eps_growth,"{'revenue_growth_yoy': 2.3800000000000003, 'eps_growth_yoy': -84.85000000000001, 'eps_next_year': 32.1, 'operating_margin': 19.5}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
BKNG,Booking Holdings Inc,revenue_growth,"{'revenue_growth_yoy': 8.15, 'eps_growth_yoy': 130.75, 'eps_next_year': 18.51, 'operating_margin': 35.17}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
BKR,Baker Hughes Co,revenue_growth;eps_growth;eps_next_year,"{'revenue_growth_yoy': -2.4299999999999997, 'eps_growth_yoy': -3.44, 'eps_next_year': 14.74, 'operating_margin': 12.959999999999999}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
BLKB,Blackbaud Inc,revenue_growth;eps_next_year,"{'revenue_growth_yoy': 3.3000000000000003, 'eps_growth_yoy': 46.300000000000004, 'eps_next_year': 13.82, 'operating_margin': 20.18}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
BMRN,Biomarin Pharmaceutical Inc,revenue_growth;eps_growth;earnings_window,"{'revenue_growth_yoy': 6.279999999999999, 'eps_growth_yoy': -43.1, 'eps_next_year': 34.11, 'operating_margin': 22.400000000000002}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
BRKR,Bruker Corp,revenue_growth;eps_growth;eps_next_year;operating_margin,"{'revenue_growth_yoy': 2.75, 'eps_growth_yoy': -80.02, 'eps_next_year': 13.58, 'operating_margin': 7.08}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
BRZE,Braze Inc,eps_growth;operating_margin,"{'revenue_growth_yoy': 30.2, 'eps_growth_yoy': 29.87, 'eps_next_year': 52.13, 'operating_margin': -16.43}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
BSY,Bentley Systems Inc,revenue_growth;eps_growth;eps_next_year;earnings_window,"{'revenue_growth_yoy': 14.48, 'eps_growth_yoy': 7.46, 'eps_next_year': 11.43, 'operating_margin': 24.67}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
BTSG,BrightSpring Health Services Inc,eps_growth;operating_margin,"{'revenue_growth_yoy': 23.05, 'eps_growth_yoy': 2.0176, 'eps_next_year': 26.86, 'operating_margin': 3.6799999999999997}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
BUSE,First Busey Corp,revenue_growth;eps_next_year,"{'revenue_growth_yoy': -6.05, 'eps_growth_yoy': 32.72, 'eps_next_year': 7.13, 'operating_margin': 27.26}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
BWIN,Baldwin Insurance Group Inc,eps_growth;operating_margin,"{'revenue_growth_yoy': 30.130000000000003, 'eps_growth_yoy': -8.0409, 'eps_next_year': 24.83, 'operating_margin': -2.65}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
CAE,Cae Inc,revenue_growth;eps_growth;earnings_window,"{'revenue_growth_yoy': 8.81, 'eps_growth_yoy': -44.1, 'eps_next_year': 17.39, 'operating_margin': 12.67}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
CAKE,Cheesecake Factory Inc,revenue_growth;eps_growth;eps_next_year;operating_margin,"{'revenue_growth_yoy': 7.720000000000001, 'eps_growth_yoy': 23.78, 'eps_next_year': 10.62, 'operating_margin': 6.98}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
CALM,Cal-Maine Foods Inc,revenue_growth;eps_growth,"{'revenue_growth_yoy': -49.93, 'eps_growth_yoy': -110.85000000000001, 'eps_next_year': 135.66, 'operating_margin': 11.790000000000001}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
CAR,Avis Budget Group Inc,revenue_growth;eps_growth,"{'revenue_growth_yoy': -1.35, 'eps_growth_yoy': 7.6761, 'eps_next_year': 84.71, 'operating_margin': 11.219999999999999}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
CARG,CarGurus Inc,revenue_growth;eps_growth;earnings_window,"{'revenue_growth_yoy': 8.17, 'eps_growth_yoy': -8.799999999999999, 'eps_next_year': 15.93, 'operating_margin': 25.25}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
CART,Maplebear Inc,revenue_growth;earnings_window,"{'revenue_growth_yoy': 13.600000000000001, 'eps_growth_yoy': 51.33, 'eps_next_year': 22.86, 'operating_margin': 17.11}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
CBRS,Cerebras Systems Inc,operating_margin;earnings_window,"{'revenue_growth_yoy': 94.35, 'eps_growth_yoy': 44.269999999999996, 'eps_next_year': None, 'operating_margin': -21.93}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
CBSH,Commerce Bancshares Inc,revenue_growth;eps_growth;eps_next_year,"{'revenue_growth_yoy': 14.280000000000001, 'eps_growth_yoy': 1.17, 'eps_next_year': 6.88, 'operating_margin': 33.739999999999995}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
CCEP,Coca-Cola Europacific Partners Plc,revenue_growth;eps_growth;eps_next_year,"{'revenue_growth_yoy': 1.72, 'eps_growth_yoy': 3.0705, 'eps_next_year': 9.59, 'operating_margin': 13.54}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
CDNA,Caredx Inc,eps_growth;eps_next_year;operating_margin,"{'revenue_growth_yoy': 52.23, 'eps_growth_yoy': 14.1242, 'eps_next_year': 11.68, 'operating_margin': -0.4}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
CDW,CDW Corp,revenue_growth;eps_growth;eps_next_year;operating_margin,"{'revenue_growth_yoy': 9.969999999999999, 'eps_growth_yoy': 4.97, 'eps_next_year': 9.1, 'operating_margin': 7.16}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
CECO,Ceco Environmental Corp,revenue_growth;eps_growth;operating_margin;earnings_window,"{'revenue_growth_yoy': 16.54, 'eps_growth_yoy': -101.14000000000001, 'eps_next_year': 56.07, 'operating_margin': 7.26}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
CEG,Constellation Energy Corp,eps_growth;eps_next_year;earnings_window,"{'revenue_growth_yoy': 23.45, 'eps_growth_yoy': 10.9518, 'eps_next_year': 13.12, 'operating_margin': 10.75}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
CELH,Celsius Holdings Inc,earnings_window,"{'revenue_growth_yoy': 137.68, 'eps_growth_yoy': 125.83, 'eps_next_year': 23.67, 'operating_margin': 19.8}",,Finviz via finvizfinance screener views,2026-08-06T23:30:32+02:00
